,Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
96,Expense,2023-01-09 21:17:47,21:17,Eggs,-78.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
97,Expense,2023-01-09 21:17:35,21:17,Flowers,-10.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,0 Family,None
98,Expense,2023-01-09 21:17:11,21:17,Idli batter,-35.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
99,Expense,2023-01-09 21:16:56,21:16,Stationary,-68.0,INR,1.0,Household,School,AmitK Savings,,0 Adi,None
100,Expense,2023-01-09 16:12:24,16:12,Amazon Fresh,-1558.0,INR,1.0,Household,Grocery,AmitK CC,,0 Family,None
101,Expense,2023-01-09 13:24:32,13:24,Eyebrow pencil,-100.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Dipti,None
102,Expense,2023-01-09 13:24:24,13:24,Veggies,-360.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
103,Expense,2023-01-09 13:24:16,13:24,Specs,-200.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
104,Expense,2023-01-09 09:30:26,09:30,Weekly salad,-660.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Amit,None
105,Expense,2023-01-09 09:30:15,09:30,Weekly salad,-660.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Dipti,None
106,Expense,2023-01-08 22:40:17,22:40,Vada paav Karjat,-30.0,INR,1.0,Entertainment,Dining Out,Wallet,,0 Family,None
107,Expense,2023-01-08 22:39:41,22:39,Auto Nyati,-150.0,INR,1.0,Travel,Cab,AmitK Savings,,0 Family,None
108,Expense,2023-01-08 22:39:25,22:39,Breakfast,-180.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Family,None
109,Expense,2023-01-08 19:47:28,19:47,Snacks KYN,-50.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
110,Expense,2023-01-08 19:47:14,19:47,Auto KYN,-150.0,INR,1.0,Travel,Travel,AmitK Savings,,0 Family,None
111,Expense,2023-01-08 19:46:57,19:46,Auto Anantham,-50.0,INR,1.0,Travel,Cab,Wallet,,0 Family,None
112,Expense,2023-01-08 19:46:39,19:46,Gift for Meera,-1500.0,INR,1.0,Others,Gift,AmitK Savings,,0 Family,None
113,Expense,2023-01-08 17:14:28,17:14,Uptownie,-699.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
114,Expense,2023-01-07 21:45:20,21:45,Kulfi,-60.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
115,Expense,2023-01-07 21:44:59,21:44,Tarri Misal,-540.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
116,Expense,2023-01-07 21:44:15,21:44,Ballaleshwar,-140.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
117,Expense,2023-01-07 21:43:52,21:43,Auto Anantham,-170.0,INR,1.0,Travel,Cab,Dipti Savings,,0 Family,None
118,Expense,2023-01-07 21:43:22,21:43,Gift for home,-300.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
119,Expense,2023-01-07 21:42:59,21:42,Breakfast Cumsum,-190.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
120,Expense,2023-01-07 21:42:25,21:42,Auto Pune,-177.0,INR,1.0,Travel,Cab,AmitK Savings,,0 Family,None
124,Expense,2023-01-06 11:47:38,11:47,Watch repair,-400.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Dipti,None
125,Expense,2023-01-06 11:47:22,11:47,Specs,-600.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
128,Expense,2023-01-05 18:38:57,18:38,Stationary,-30.0,INR,1.0,Household,School,AmitK Savings,,0 Amit,None
129,Expense,2023-01-05 12:05:28,12:05,DD lonavala trip,-5000.0,INR,1.0,Travel,Travel,Dipti Savings,,0 Dipti,None
130,Expense,2023-01-05 07:00:17,07:00,Renuga pipe gas bill,-70.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
